name,latitude,longitude,county,state,description
KBA,19.855,-155.923,Hawaii,HI,SGD sampling location
KBB,19.859,-155.921,Hawaii,HI,SGD sampling location
HHA,19.669,-156.021,Hawaii,HI,SGD sampling location
HHB,19.669,-156.025,Hawaii,HI,SGD sampling location
QLT1,19.649,-156.021,Hawaii,HI,SGD sampling location
Heiau,19.577,-155.968,Hawaii,HI,SGD sampling location
P1,19.914,-155.888,Hawaii,HI,SGD sampling location
P6,19.893,-155.905,Hawaii,HI,SGD sampling location
P8A,19.888,-155.907,Hawaii,HI,SGD sampling location
P8B,19.887,-155.907,Hawaii,HI,SGD sampling location
P22A,19.794,-156.026,Hawaii,HI,SGD sampling location
P22B,19.793,-156.027,Hawaii,HI,SGD sampling location
P23,19.783,-156.037,Hawaii,HI,SGD sampling location
P24,19.782,-156.040,Hawaii,HI,SGD sampling location
P25,19.736,-156.053,Hawaii,HI,SGD sampling location
PKI,19.691,-156.038,Hawaii,HI,SGD sampling location
P34,19.647,-156.017,Hawaii,HI,SGD sampling location
P37,19.639,-155.998,Hawaii,HI,SGD sampling location
P38,19.640,-155.995,Hawaii,HI,SGD sampling location
P39,19.635,-155.991,Hawaii,HI,SGD sampling location
P40,19.628,-155.988,Hawaii,HI,SGD sampling location
P41,19.603,-155.975,Hawaii,HI,SGD sampling location
P43,19.581,-155.967,Hawaii,HI,SGD sampling location

